year,sp500_total_return,us_tbond_10y_return
1928,0.43811155152887893,0.008354708589799302
1929,-0.0829794661190966,0.04203804156320426
1930,-0.25123636363636365,0.045409314348970366
1931,-0.4383754889178619,-0.02558855961942253
1932,-0.08642364532019696,0.08790306990477326
1933,0.49982225433526023,0.01855272089185736
1934,-0.011885656970912803,0.0796344261796561
1935,0.4674042105263158,0.04472047729656613
1936,0.3194341027550261,0.0501787540454506
1937,-0.3533672875436554,0.01379146059646038
1938,0.29282654028436017,0.04213248532204607
1939,-0.010975646879756443,0.04412261394206067
1940,-0.10672873194221515,0.05402481596284551
1941,-0.1277145557655955,-0.020221975848580105
1942,0.19173762945914843,0.022948682374484164
1943,0.25061310133060394,0.0249
1944,0.1903067694944301,0.025776111579070303
1945,0.358210843373494,0.03804417341923723
1946,-0.08429147465437781,0.031283745375695685
1947,0.052,0.009196968062832236
1948,0.057045751633986834,0.019510369413175046
1949,0.18303223684210526,0.04663485182797314
1950,0.30805539011316263,0.00429595741710961
1951,0.2367846304454234,-0.0029531392208319886
1952,0.18150988641144306,0.022679961918305656
1953,-0.012082047421904465,0.04143840258908851
1954,0.525633212414349,0.032898034558095555
1955,0.3259733185102835,-0.013364391288618781
1956,0.07439511873350935,-0.022557738173154165
1957,-0.1045736018855796,0.0679701284662499
1958,0.43719954988747184,-0.020990181755274694
1959,0.12056457163557326,-0.026466312591385065
1960,0.00336535314743695,0.11639503690963365
1961,0.2663771295818275,0.020609208076323167
1962,-0.08811460517120888,0.05693544054008462
1963,0.22611927099841514,0.016841620739546127
1964,0.16415455878432425,0.037280648911540815
1965,0.12399242477876114,0.007188550935926234
1966,-0.0997095423563779,0.029079409324299622
1967,0.23802966513133328,-0.015806209932824666
1968,0.10814862651601535,0.032746196950768365
1969,-0.08241371076449064,-0.050140493209926106
1970,0.03561144905496419,0.16754737183412338
1971,0.14221150298426474,0.09786896619712297
1972,0.18755362915074925,0.02818449050444969
1973,-0.14308047437526472,0.036586646024150085
1974,-0.2590178575089697,0.019886086932378574
1975,0.36995137106184356,0.03605253602603384
1976,0.23830999002106662,0.1598456074290921
1977,-0.06979704075935232,0.012899606071070449
1978,0.0650928391167193,-0.007775806907508648
1979,0.18519490167516386,0.006707203124723546
1980,0.3173524550676301,-0.02989744251999403
1981,-0.04702390247495576,0.08199215335892354
1982,0.20419055079559353,0.32814549486295586
1983,0.22337155858930619,0.032002094451429264
1984,0.0614614199963621,0.13733364344102345
1985,0.3123514948576895,0.2571248821260641
1986,0.18494578758046187,0.24284215141767618
1987,0.05812721641821871,-0.04960508937926228
1988,0.16537192812044688,0.08223595843484167
1989,0.31475183638196724,0.17693647159446219
1990,-0.03064451612903212,0.06235375333553336
1991,0.3023484313487976,0.15004510019517303
1992,0.07493727972380064,0.09361637316207942
1993,0.0996705147919488,0.14210957589263107
1994,0.013259206774573897,-0.08036655550998592
1995,0.3719519890260631,0.23480780112538907
1996,0.2268096601886579,0.01428607793401844
1997,0.33103653103653097,0.09939130272977531
1998,0.28337953278443584,0.14921431922606215
1999,0.20885350992084475,-0.08254214796268576
2000,-0.09031818955249278,0.16655267125397488
2001,-0.11849759142000185,0.055721811892492555
2002,-0.219660479579127,0.15116400378109285
2003,0.2835580005001023,0.003753185881775853
2004,0.10742775944096193,0.04490683702274547
2005,0.048344775232688535,0.028675329597779506
2006,0.15612557979315703,0.019610012417568386
2007,0.054847352464217694,0.10209921930012807
2008,-0.3655234411179819,0.20101279926977011
2009,0.2593523387766398,-0.11116695313259162
2010,0.14821092278719414,0.08462933880355772
2011,0.0209837473362805,0.16035334999461354
2012,0.15890585241730293,0.02971571978018946
2013,0.32145085858125483,-0.09104568794347262
2014,0.13524421649462237,0.10746180452004755
2015,0.013788916411676138,0.012842996709792224
2016,0.11773080874798171,0.006905504698747792
2017,0.2160548143449928,0.028017162707789457
2018,-0.04226869289088544,-0.00016692385713402633
2019,0.31211679996808755,0.09635630741548393
2020,0.18023201827422478,0.1133189764661412
2021,0.2846885175196416,-0.04416034448604475
2022,-0.18037505927178585,-0.1782817153825067
2023,0.26060684985024096,0.0388
2024,0.24878611262526726,-0.016371801436629807
2025,0.17723658237597398,0.07795480870767396
